year,EBM
1750,0.0735979723824297
1751,0.0552672312323226
1752,0.0251945270729911
1753,-0.0109814809518046
1754,-0.0453957863641215
1755,-0.10161409090607
1756,-0.395728648740573
1757,-0.219546344580478
1758,-0.0666242265969962
1759,0.0227775923610942
1760,0.0613570092365856
1761,0.0598935826848975
1762,-1.00163413162134
1763,-0.718915250200526
1764,-0.312900783312457
1765,-0.162220777438644
1766,-0.562835462359633
1767,-0.561968344382581
1768,-0.209474535003939
1769,-0.0126645385520549
1770,-0.128205536574408
1771,-0.0533011538573873
1772,0.0105723153254712
1773,0.0086745391054518
1774,-0.0200723438124595
1775,-0.0516964503643311
1776,-0.0714648087329188
1777,-0.0671916901781202
1778,-0.0224015684180439
1779,0.0490550153351351
1780,0.0918495065991886
1781,0.091699449064599
1782,0.0674113307686422
1783,-1.80007104103755
1784,-3.38283415723929
1785,-1.58964526595846
1786,-0.856536753965568
1787,-0.410018913737702
1788,-0.11846683413395
1789,0.0469696245932394
1790,0.104680950679754
1791,0.101140325235666
1792,0.0865552001276883
1793,0.0569860986143415
1794,0.0215276859905982
1795,-0.0162292454948804
1796,-0.246126025570761
1797,-0.400938650962047
1798,-0.269322404343268
1799,-0.152929874733887
1800,-0.0903771361667156
1801,-0.0448093117805706
1802,-0.0112889766337936
1803,0.0076908925847467
1804,0.010581242316552
1805,0.0022380964648165
1806,-0.0121700428065662
1807,-0.0321935569421362
1808,-0.0538393575083473
1809,-3.61028680541041
1810,-2.6794777764996
1811,-1.12788707577338
1812,-0.473613893791936
1813,-0.210722314367673
1814,-0.0988619407040175
1815,-3.39012253262739
1816,-4.46176154919848
1817,-1.88866706156668
1818,-0.734653208096511
1819,-0.299196401281702
1820,-0.14868971508258
1821,-0.226490963598925
1822,-0.24132349302829
1823,-0.619526236938742
1824,-0.306008987827944
1825,-0.131379259100439
1826,-0.0413998447566318
1827,0.0031276242212026
1828,0.0174535851814508
1829,0.0107634067320864
1830,-0.0081821222199894
1831,-2.51447328661491
1832,-1.59831084714355
1833,-0.671779464719818
1834,-0.294226195078696
1835,-2.00370341879875
